Run,Algorithm,Key Size (bits),Encryption Time (s),Decryption Time (s),Memory Usage (MB),Security Level
1,AES,256,0.0025585000003047753,0.002404499999101972,70.1796875,High (128-bit security)
1,RSA (Hybrid),2048,0.00378160000036587,0.04374449999886565,73.4609375,High (based on key size + AES strength)
1,ChaCha20-Poly1305,256,0.006638499999098713,0.006748299998434959,73.5234375,High (128-bit security)
2,AES,256,0.002379800000198884,0.002282100002048537,75.1640625,High (128-bit security)
2,RSA (Hybrid),2048,0.0031817999988561496,0.04420800000298186,75.1640625,High (based on key size + AES strength)
2,ChaCha20-Poly1305,256,0.006735400002071401,0.00675520000004326,75.1640625,High (128-bit security)
3,AES,256,0.0022871999972267076,0.002358100002311403,75.1640625,High (128-bit security)
3,RSA (Hybrid),2048,0.0033967000017582905,0.04318529999727616,75.1640625,High (based on key size + AES strength)
3,ChaCha20-Poly1305,256,0.006528300000354648,0.006453599999076687,75.1640625,High (128-bit security)
4,AES,256,0.0026027999992948025,0.0024049000021477696,75.1640625,High (128-bit security)
4,RSA (Hybrid),2048,0.0032485999981872737,0.04550120000203606,75.1640625,High (based on key size + AES strength)
4,ChaCha20-Poly1305,256,0.006426799998735078,0.006726300001901109,75.1640625,High (128-bit security)
5,AES,256,0.0023355999983323272,0.002218199999333592,75.1640625,High (128-bit security)
5,RSA (Hybrid),2048,0.0033721999971021432,0.044004399995174026,75.1640625,High (based on key size + AES strength)
5,ChaCha20-Poly1305,256,0.00658570000086911,0.006526699999085395,75.1640625,High (128-bit security)
6,AES,256,0.002372900002228562,0.0022729000011167955,75.1640625,High (128-bit security)
6,RSA (Hybrid),2048,0.003923600001144223,0.050756800003000535,75.1640625,High (based on key size + AES strength)
6,ChaCha20-Poly1305,256,0.006781699998100521,0.007262099999934435,75.41796875,High (128-bit security)
7,AES,256,0.0024016999996092636,0.002451600001222687,75.41796875,High (128-bit security)
7,RSA (Hybrid),2048,0.0035099000015179627,0.043351000000257045,75.41796875,High (based on key size + AES strength)
7,ChaCha20-Poly1305,256,0.006629600000451319,0.0065810000014607795,75.41796875,High (128-bit security)
8,AES,256,0.0026447000018379185,0.0022361000010278076,75.41796875,High (128-bit security)
8,RSA (Hybrid),2048,0.003097100001468789,0.04380060000039521,75.51953125,High (based on key size + AES strength)
8,ChaCha20-Poly1305,256,0.006605700000363868,0.006811799998104107,75.58203125,High (128-bit security)
9,AES,256,0.002214699998148717,0.0022290999986580573,75.58203125,High (128-bit security)
9,RSA (Hybrid),2048,0.003197100002580555,0.0427564000019629,75.58203125,High (based on key size + AES strength)
9,ChaCha20-Poly1305,256,0.006482299999333918,0.006733800000802148,75.58203125,High (128-bit security)
10,AES,256,0.002272999998240266,0.0022974999992584344,75.58203125,High (128-bit security)
10,RSA (Hybrid),2048,0.003186899997672299,0.04826459999821964,75.58203125,High (based on key size + AES strength)
10,ChaCha20-Poly1305,256,0.006682899998850189,0.006609199997910764,75.58203125,High (128-bit security)
