Run,Algorithm,Key Size (bits),Encryption Time (s),Decryption Time (s),Memory Usage (MB),Security Level
1,AES,256,0.00029350000113481656,0.00022480000188807026,65.29296875,High (128-bit security)
1,RSA (Hybrid),2048,0.0012512999965110794,0.04151540000384557,65.60546875,High (based on key size + AES strength)
1,ChaCha20-Poly1305,256,0.0006842999973741826,0.0006778000024496578,65.609375,High (128-bit security)
2,AES,256,0.00028979999842704274,0.000221800000872463,65.7734375,High (128-bit security)
2,RSA (Hybrid),2048,0.0011668000006466173,0.04189100000075996,65.7734375,High (based on key size + AES strength)
2,ChaCha20-Poly1305,256,0.0006608000003325287,0.0006656000005023088,65.7734375,High (128-bit security)
3,AES,256,0.0002060999977402389,0.00020790000053239055,65.7734375,High (128-bit security)
3,RSA (Hybrid),2048,0.0011420999981055502,0.04221529999995255,65.7734375,High (based on key size + AES strength)
3,ChaCha20-Poly1305,256,0.0006632000004174188,0.0006642999978794251,65.7734375,High (128-bit security)
4,AES,256,0.00021660000129486434,0.00021570000171777792,65.77734375,High (128-bit security)
4,RSA (Hybrid),2048,0.001558599997224519,0.040696700001717545,66.02734375,High (based on key size + AES strength)
4,ChaCha20-Poly1305,256,0.0006616000027861446,0.0006732000001647975,66.02734375,High (128-bit security)
5,AES,256,0.00021070000002509914,0.00021500000002561137,66.02734375,High (128-bit security)
5,RSA (Hybrid),2048,0.0011640000011539087,0.04209950000222307,66.02734375,High (based on key size + AES strength)
5,ChaCha20-Poly1305,256,0.0006633000011788681,0.0006758999988960568,66.02734375,High (128-bit security)
6,AES,256,0.00020650000078603625,0.00021399999968707561,66.02734375,High (128-bit security)
6,RSA (Hybrid),2048,0.0011335000017425045,0.042399900001328206,66.02734375,High (based on key size + AES strength)
6,ChaCha20-Poly1305,256,0.0006800000010116491,0.0006729999986418989,66.02734375,High (128-bit security)
7,AES,256,0.0002220999995188322,0.0002199000009568408,66.02734375,High (128-bit security)
7,RSA (Hybrid),2048,0.0011345000020810403,0.04159090000393917,66.02734375,High (based on key size + AES strength)
7,ChaCha20-Poly1305,256,0.0006589000004169066,0.000674099999741884,66.02734375,High (128-bit security)
8,AES,256,0.0002096999996865634,0.00021570000171777792,66.02734375,High (128-bit security)
8,RSA (Hybrid),2048,0.0010663999964890536,0.03931119999833754,66.02734375,High (based on key size + AES strength)
8,ChaCha20-Poly1305,256,0.0006825000018579885,0.0006563000024470966,66.02734375,High (128-bit security)
9,AES,256,0.0002206999997724779,0.00021639999977196567,66.02734375,High (128-bit security)
9,RSA (Hybrid),2048,0.0011506999981065746,0.04121899999881862,66.02734375,High (based on key size + AES strength)
9,ChaCha20-Poly1305,256,0.0006613000005017966,0.0006699000005028211,66.02734375,High (128-bit security)
10,AES,256,0.00021430000197142363,0.00021740000011050142,66.02734375,High (128-bit security)
10,RSA (Hybrid),2048,0.0011709999998856802,0.0423865000011574,66.02734375,High (based on key size + AES strength)
10,ChaCha20-Poly1305,256,0.0006604000009247102,0.0006672999988950323,66.02734375,High (128-bit security)
